dataset_id,public_path,original_filename_or_pattern,data_source,data_level,role,time_range,spatial_resolution,spatial_unit,repository_status,notes
endpoint_sensitivity_tables,,hex_data/NDVI_16_trend_hex_100.csv; hex_data/NDVI_18_trend_hex_100.csv; hex_data/NDVI_trend_hex_75.csv; hex_data/NDVI_trend_hex_125.csv,derived vegetation-expansion trend tables,processed,Threshold/scale sensitivity inputs for 3-year endpoint change summaries,2000-2022,75/100/125 km2 depending on file,hexagon,not_versioned,"Current script config includes 0.16, 0.18, 75 km2 and 125 km2; other thresholds are commented examples."
era5land_daily_aggr_gee,,ECMWF/ERA5_LAND/DAILY_AGGR,ECMWF ERA5-Land Daily Aggregated via Google Earth Engine,external/raw,Daily meteorological and land-surface source collection for W90 hydroclimate drivers,2000-2022 used by study; source collection broader,ERA5-Land native GEE grid,raster pixel-day,external_not_versioned,"Bands used: temperature_2m, dewpoint_temperature_2m, volumetric_soil_water_layer_1/2/3, total_evaporation_sum, surface_net_solar_radiation_sum."
fig2_dominance_static,,result2/fig2_dominance_corrected_static.csv,derived attribution summary,figure_data/output,Two-row static natural-dominant fractions for the Fig. 2 dominance bar panel,2000-2022,100 km2,model summary,provenance_only_not_versioned,Generating script has not yet been identified; must be linked to the main logit-scale NAT0 attribution output before public release.
fig3_aridity_plot_ready_core,,FIG5/fig5_UP_hex_plot_ready_core.csv,derived UP attribution x aridity x driver-trend table,intermediate/processed,Per-hex plot-ready table for within-aridity driver quintiles and three-component attribution shares,2000-2022,100 km2,hexagon,not_versioned,"Expected fields from plotting code include aridity_class, P90_trend, SM90_L1_trend, VPD_resid_trend, share_abs_clim, share_abs_co2 and share_abs_res. Generating script not yet linked; left blank intentionally."
hex_trend_100,,Hex_data/NDVI_trend_hex_100.shp; NDVI_hex_data/NDVI_trend_hex_100.csv,derived from annual threshold-defined vegetated fraction,output/processed,100-km2 hex vegetation trend statistics,2000-2022,100 km2,hexagon,not_versioned,"Core processed dataset ; should eventually contain stable hex ID, annual veg_frac and/or trend fields needed downstream."
hex_trend_geometry_all,,hex_data/NDVI_trend_hex_100.shp,derived MODIS threshold-defined hex trend product,processed spatial,All hexagons with trend attributes for Fig. 1a,2000-2022,100 km2,hexagon polygon,not_versioned,Contains pvalue/tau fields in uploaded plotting scripts; final UP/DOWN classification must remain aligned with canonical trend definition.
hex_up_down_samples,,NDVI_hex_data/NDVI_trend_hex_100_up.shp; NDVI_hex_data/NDVI_trend_hex_100_down.shp,derived from hex trend classification,processed,fixed optical UP/DOWN samples for VOD validation,2000-2022,100 km2,hexagon,not_versioned,Could be regenerated from canonical hex trend table; may not need separate public shapefiles if geometry + class are in one table.
hydroclimate_et90,,ET90_sum.xlsx; ET90_sum_new.xlsx,ERA5-Land Daily Aggregated-derived,processed,W90 cumulative evapotranspiration,2000-2022,aggregated to 100 km2 hexagons,hexagon-year,not_versioned,Legacy SEM references ET90_sum_new.xlsx; provenance/value equivalence should be checked before canonical naming. The script that converted annual W90 rasters to the final 100-km2 hexagon-year spreadsheet is no longer available; retain the processed table as the release input and document this provenance gap.
hydroclimate_p90,,W90_Precip.xlsx,ERA5-Land Daily Aggregated-derived,processed,W90 precipitation supply,2000-2022,aggregated to 100 km2 hexagons,hexagon-year,not_versioned,P90; exact upstream extraction script to be linked when uploaded. The script that converted annual W90 rasters to the final 100-km2 hexagon-year spreadsheet is no longer available; retain the processed table as the release input and document this provenance gap.
hydroclimate_sm_l1_90,,SM_L1_90_mean.xlsx,ERA5-Land Daily Aggregated-derived,processed,W90 surface soil moisture (0-7 cm),2000-2022,aggregated to 100 km2 hexagons,hexagon-year,not_versioned,Main attribution uses L1. SEM lineage also contains a root-zone choice; keep distinct. The script that converted annual W90 rasters to the final 100-km2 hexagon-year spreadsheet is no longer available; retain the processed table as the release input and document this provenance gap.
hydroclimate_swnet90,,SWnet90_mean.xlsx,ERA5-Land Daily Aggregated-derived,processed,W90 mean net shortwave radiation,2000-2022,aggregated to 100 km2 hexagons,hexagon-year,not_versioned,Used both as predictor and as VPD-residualisation covariate. The script that converted annual W90 rasters to the final 100-km2 hexagon-year spreadsheet is no longer available; retain the processed table as the release input and document this provenance gap.
hydroclimate_tmean90,,T2m90_mean.xlsx,ERA5-Land Daily Aggregated-derived,processed,W90 mean 2-m air temperature,2000-2022,aggregated to 100 km2 hexagons,hexagon-year,not_versioned,Variable appears as Tmean90/Tmean/T90 across legacy scripts; canonical public naming should be unified without changing values. The script that converted annual W90 rasters to the final 100-km2 hexagon-year spreadsheet is no longer available; retain the processed table as the release input and document this provenance gap.
hydroclimate_trend_skill_table,,trend_skill_table.xlsx,derived hydroclimate trend table,processed/intermediate,Per-hex P90/VPD90/SM90/ET90/SWnet90 slopes used by agricultural-neighbourhood comparison,2000-2022,100 km2,hexagon,provenance_only_not_versioned,Contains raw VPD90 trend in this script; do not conflate with final VPD_resid driver-trend products.
hydroclimate_vpd90,,VPD90_mean.xlsx,ERA5-Land Daily Aggregated-derived,processed,W90 mean VPD and source for VPD_resid,2000-2022,aggregated to 100 km2 hexagons,hexagon-year,not_versioned,Raw VPD used directly only in sensitivity; main  derives VPD_resid. The script that converted annual W90 rasters to the final 100-km2 hexagon-year spreadsheet is no longer available; retain the processed table as the release input and document this provenance gap.
landcover_transition_up,,NDVI_trend_hex_100_up_change.xls,ESA CCI/Copernicus land-cover endpoint transition aggregation,processed,2000->2022 per-hex transition matrix,2000-2022 endpoints,300 m source aggregated to 100 km2 hexagons,hexagon x transition-code matrix,not_versioned,Contains VALUE_* transition-area fields; process classifier uses dominant off-diagonal transition.
merged_cband_vod_annual,,VOD_annual_max_tif/VOD_YYYY.tif,derived from merged C-band VOD,processed,annual-maximum VOD raster,2002-2022,0.25 degree,raster,regenerate_or_local_not_versioned,Likely regenerate rather than host if file size is large.
merged_cband_vod_nc,,VOD_nc/**/*.nc,AMSR-E/AMSR2/WindSat merged C-band VOD,raw external,daily/subannual VOD source,2002-2022,0.25 degree (per SI),grid-cell/time,external_not_versioned,Quality_Flag used by preprocessing.
modis_aqua_evi_16day_gee,,MODIS/061/MYD13A1,MODIS Aqua MYD13A1 via Google Earth Engine,external/raw,16-day EVI source collection merged with Terra in the supplied EVI robustness branch,availability must be checked against the requested 2000-2022 loop,500 m nominal,raster pixel-composite,external_not_versioned,Canonical upstream input to the supplied EVI robustness GEE workflow; merged with MOD13A1 before annual maximum. Product availability through time follows the source archive and is documented rather than treated as a release gate.
modis_aqua_ndvi_16day_gee,,MODIS/061/MYD13A1,MODIS Aqua MYD13A1 via Google Earth Engine,external/raw,16-day NDVI source collection merged with Terra in the supplied GEE annual-maximum branch,2002 onward in source archive; supplied execution instance year=2022,500 m nominal,raster pixel-composite,external_not_versioned,Canonical upstream input to the supplied production GEE NDVI workflow. It is merged with MOD13A1 before annual maximum. Sensor/product availability through time follows the source archive and is not treated as a release blocker.
modis_aqua_reflectance_qa_msavi_gee,,MODIS/061/MYD13A1,MODIS Aqua MYD13A1 via Google Earth Engine,external/raw,16-day red/NIR surface reflectance and SummaryQA source merged with Terra for the supplied annual-maximum MSAVI sensitivity branch,availability must be checked against full intended analysis period; supplied execution instance year=2022,500 m nominal,raster pixel-composite,external_not_versioned,Canonical upstream MYD13A1 input to the supplied MSAVI robustness workflow. Merged with MOD13A1 after SummaryQA<=1 masking; exact product identity is retained for technical reproducibility.
modis_evi_annual,,MODIS_EVI/2022/*.tif; MODIS_KEVI_2022.tif,MODIS Collection 6.1 vegetation-index products: MOD13A1 + MYD13A1 via Google Earth Engine,processed,alternative vegetation-index robustness,,,raster,external_raw_processed_locally,EVI robustness production provenance follows the supplied GEE workflow: MOD13A1 and MYD13A1 EVI collections are merged before annual maximum. Subsequent TIFF processing includes manual ArcGIS Pro steps without retained code.
modis_evi_annual_terra_aqua_part_gee,,Google Drive/MODIS_EVI/EVI_MODIS_<year>_<part>.tif; supplied naming pattern EVI_MODIS_<year>_00,Derived from merged MODIS/061/MOD13A1 and MODIS/061/MYD13A1 EVI in GEE,intermediate raster/output,Annual maximum EVI raster for one dryland partition used in vegetation-indicator robustness analyses,2000-2022 in supplied loop,500 m export scale; EPSG:4326 specified,raster pixel-year-partition,generated_intermediate_not_versioned,Annual maximum is computed after merging Terra and Aqua and multiplying EVI by 0.0001. No QA filtering appears in this supplied script. filterDate end is Dec 31 and therefore end-exclusive.
modis_msavi_annual,,MODIS_MSAVI/*.tif; MODIS_MSAVI_fixed_0.14/MODIS_MSAVI_*_measure.tif,MODIS Collection 6.1 MOD13A1 + MYD13A1 reflectance-derived MSAVI via Google Earth Engine,processed,alternative vegetation-index robustness,,500 m target in threshold workflow,raster,external_raw_processed_locally,"MSAVI robustness production provenance follows the supplied GEE workflow: MOD13A1 and MYD13A1 red/NIR reflectance are merged after SummaryQA<=1 masking, MSAVI is computed, and the annual maximum is exported. Selected later TIFF threshold/reprojection steps were performed in ArcGIS Pro without retained production code."
modis_msavi_annual_terra_aqua_part_gee,,Google Drive/MODIS_MSAVI/MSAVI_MODIS_<part>_<year>.tif; supplied instance MSAVI_MODIS_21_2022,Derived from merged MODIS/061/MOD13A1 and MODIS/061/MYD13A1 red/NIR reflectance in GEE,intermediate raster/output,Annual maximum MSAVI raster for one dryland partition used in vegetation-indicator robustness analyses,supplied execution instance 2022; intended multi-year production lineage to be confirmed,500 m export scale; EPSG:4326 specified,raster pixel-year-partition,generated_intermediate_not_versioned,MSAVI is calculated after SummaryQA <= 1 masking using scaled red/NIR reflectance; annual maximum is taken after merging Terra and Aqua. filterDate end is Dec 31 and therefore end-exclusive.
modis_ndvi_annual,,MODIS_NDVI/MODIS_NDVI_*.tif; NDVI_data_fixed/MODIS_NDVI_*_measure.tif,MODIS Collection 6.1 vegetation-index products: MOD13A1 + MYD13A1 via Google Earth Engine,processed,annual vegetation-index raster / thresholded raster,2000-2022,500 m target in threshold workflow,raster,external_raw_processed_locally,Production provenance is defined by the supplied GEE download workflow: Terra MOD13A1 and Aqua MYD13A1 NDVI collections are merged before the annual pixelwise maximum. Subsequent TIFF thresholding and EPSG:8857 reprojection were performed in ArcGIS Pro and the executable production script is unavailable. Exact product identifiers are retained even though sensor distinction is not treated as a scientific release gate.
modis_ndvi_annual_terra_aqua_part_gee,,Google Drive/MODIS_NDVI/NDVI_MODIS_<part>_<year>.tif; supplied instance NDVI_MODIS_21_2022,Derived from merged MODIS/061/MOD13A1 and MODIS/061/MYD13A1 NDVI in GEE,intermediate raster/output,Annual maximum NDVI raster for one dryland partition before thresholding and hex aggregation,supplied instance 2022; intended multi-year batch not shown,500 m export scale; EPSG:4326 specified,raster pixel-year-partition,generated_intermediate_not_versioned,Canonical supplied annual-maximum NDVI partition output. Annual maximum is computed after merging MOD13A1 and MYD13A1 and multiplying NDVI by 0.0001. No QA filtering appears in the supplied NDVI code. Downstream thresholding/reprojection includes ArcGIS Pro steps documented separately.
modis_terra_evi_16day_gee,,MODIS/061/MOD13A1,MODIS Terra MOD13A1 via Google Earth Engine,external/raw,16-day EVI source collection used by supplied annual-maximum EVI robustness preprocessing,2000-2022 intended; source collection broader,500 m nominal,raster pixel-composite,external_not_versioned,Canonical upstream input to the supplied EVI robustness GEE workflow; merged with MYD13A1 before annual maximum.
modis_terra_ndvi_16day_gee,,MODIS/061/MOD13A1,MODIS Terra MOD13A1 via Google Earth Engine,external/raw,16-day NDVI source collection used by supplied GEE annual-maximum vegetation preprocessing,2000-2022 intended; source collection broader,500 m nominal,raster pixel-composite,external_not_versioned,Canonical upstream input to the supplied production GEE NDVI workflow. It is merged with MYD13A1 before annual maximum; exact product identity is retained for technical reproducibility.
modis_terra_reflectance_qa_msavi_gee,,MODIS/061/MOD13A1,MODIS Terra MOD13A1 via Google Earth Engine,external/raw,16-day red/NIR surface reflectance and SummaryQA source used to compute annual-maximum MSAVI sensitivity rasters,2000-2022 intended; supplied execution instance year=2022,500 m nominal,raster pixel-composite,external_not_versioned,Canonical upstream MOD13A1 input to the supplied MSAVI robustness workflow. Uses sur_refl_b01/sur_refl_b02 scaled by 0.0001 and SummaryQA; QA values 0 and 1 are retained.
msavi014_hex_trend_map_input,,hex_data/NDVI_MSAVI_0.14_trend_hex_100.shp,derived MSAVI vegetation trend product,processed/sensitivity,MSAVI 0.14 100-km2 trend polygons for a continuous Kendall-tau sensitivity map,2000-2022,100 km2,hexagon,external_or_regenerable_not_versioned,Configured in the byte-identical plot_fig1a_map_export lineage. Do not confuse with the canonical NDVI main-map input.
natural_earth_land,,naturalearth.land / ne_110m_land.zip,Natural Earth,raw external,visualisation basemap,,110 m product,vector,external_not_versioned,"Visualisation-only dependency, not analytical input."
natural_earth_land_10m,,world_map/ne_10m_land.shp,Natural Earth,raw external,High-resolution land/coastline basemap for publication figures,,10 m product,vector polygon,external_not_versioned,Visualisation-only dependency.
pixel_hex_overlap_raster,,MODIS_pixel_hex_overlap_8857.tif,derived pixel-vs-hex comparison product,processed spatial,Rasterized relationship between pixel greenness classes and threshold-defined hex classes,2000-2022,display/aligned raster,pixel,not_versioned,Combined or separate pixel/hex class encoding; plotting script includes automatic decoding plus manual override.
pixel_ndvi_trend_raster,,MODIS_NDVI_pixel_MK_Sen_8857.tif,derived MODIS NDVI pixel-trend product,processed spatial,Pixel-level MK/Sen greenness trend comparison,2000-2022,MODIS pixel / projected raster,pixel,not_versioned,"Expected bands include Kendall tau, p-value, Sen slope and/or class; exact band schema should be documented."
process_attr_driver_merged_up,data/processed/process_context/process_context_attribution_hydroclimate_up.csv,LU_change_typing_up_new/02_hex_merged_process_attr_climate_UP.csv,derived merged analysis table,intermediate/processed,process-context x attribution x driver-trend table,2000-2022,100 km2,hexagon,included_processed,Strong reusable intermediate  for Fig.3/process-context reproducibility.
process_labels_up,,LU_change_typing_up_new/01_hex_process_labels_UP.csv,derived land-cover process classification,processed/intermediate,Per-UP-hex process-context labels,2000-2022 endpoints,100 km2,hexagon,not_versioned,Contains group_type and related process labels. Legacy aliases must be mapped without changing group membership.
up_hex_annual_vegfrac_prefiltered,,hex_data/NDVI_trend_hex_100_UP_valid_sens_gt0.csv,derived MODIS threshold-defined vegetated fraction,processed,Prefiltered UP hexagon annual veg_frac table for trajectory and representative-case figures,2000-2022,100 km2,hexagon-year wide table,not_versioned,Contains annual veg_YYYY fields and apparently centroid/trend metadata. Likely a filtered/exported view of the canonical 100-km2 hex trend table; confirm whether a separate public file is necessary.
up_hex_geometry,data/processed/vegetation/up_hexagons.gpkg,NDVI_trend_hex_100_up.shp,derived threshold-defined UP hexagons,processed spatial,Geometry for UP-only adjacency and figure overlays,2000-2022,100 km2,hexagon polygon,included_processed,Used for touching-polygon neighbourhood graph; hex_id must remain stable.
up_landcover_change_matrix_10class,,Landcover_change/change matrix up area.xlsx,derived 2000->2022 land-cover transition aggregation,processed,Global 10x10 aggregated transition-area matrix over UP hexagons,2000-2022 endpoints,300 m source aggregated over UP sample,10x10 class transition matrix,not_versioned,Rows=2000 class and columns=2022 class in the plotting scripts; separate from the per-hex transition matrix used for process typing.
veg_fraction_down_panel,,NDVI_trend_hex_100_down.xlsx,derived from MODIS threshold-defined vegetated fraction,processed,DOWN vegetation-fraction hex-year panel for sensitivity,2000-2022,100 km2,hexagon-year,not_versioned,Sensitivity sample; not the primary biological focus.
veg_fraction_up_panel,,NDVI_trend_hex_100_up.xlsx,derived from MODIS threshold-defined vegetated fraction,processed,UP vegetation-fraction hex-year panel,2000-2022,100 km2,hexagon-year,not_versioned,Core reproducibility panel ; metadata columns may also contain MK/Sen classification.
vod_zenodo_record_17359730,,vod_zenodo_17359730/zip/*.zip,Zenodo record 17359730,raw external,downloaded source archive,,,archive,external_not_versioned,Official product title/DOI to be filled after source verification.
vodca_cxku_annual,,VODCA_CXKu_tif/VODCA_CXKu_YYYY.tif,derived from VODCA v2 CXKu,processed,annual-maximum VOD raster,2000-2021,0.25 degree,raster,regenerate_or_local_not_versioned,Likely regenerate rather than host if file size is large.
vodca_cxku_daily,,VODCA_CXKu_daily/**/*.nc,VODCA v2 CXKu,raw external,daily VOD source,2000-2021,0.25 degree (per SI),grid-cell/day,external_not_versioned,Do not upload raw files; document official source.
xco2_cams_candidate,data/processed/background/up/CO2_annual_tif.xlsx,CO2_annual_tif.xlsx,CAMS global inversion-optimised greenhouse gas fluxes and concentrations (ADS; DOI 10.24381/ed2851d2),processed,main shared/background XCO2 index,2000-2022,aggregated to 100 km2 hexagons,hexagon-year,included_processed,"Main spatially heterogeneous XCO2 background panel. Source dataset identified from user provenance as https://ads.atmosphere.copernicus.eu/datasets/cams-global-greenhouse-gas-inversion?tab=download (DOI 10.24381/ed2851d2). The uploaded 2000-2022 table contains 51,519 UP hexagons. The original raster/netCDF-to-hex extraction script and exact retrieval configuration/version snapshot are unavailable; do not reconstruct them from assumptions."
xco2_noaa_candidate,data/processed/background/up/NOAA_CO2_EPSG8857.xlsx,NOAA_CO2_EPSG8857.xlsx,NOAA Global Monitoring Laboratory CarbonTracker CO2 product family,processed,background-source sensitivity / alternative shared annual trajectory,2000-2022,regridded/hex representation (confirm),hexagon-year or common annual series,included_processed,"Background-source sensitivity / shared annual trajectory. User-provided source: https://gml.noaa.gov/ccgg/carbontracker/. The current NOAA page identifies CT2022 (DOI 10.25925/z1gj-3254) as covering 2000-2020, with CarbonTracker NRT releases covering 2021 onward. Because the uploaded table spans 2000-2022 and the original extraction script is unavailable, the exact CarbonTracker release composition used for 2021-2022 cannot be proven from the recovered files. Preserve the uploaded processed table as the sensitivity input and document this provenance boundary."
